FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE
A,ITC44,B1GQ_B_W2_S1,V,N,2025M1,2022,5995.0
A,ITC44,D21X31_C_W2_S1,V,N,2025M1,2021,595.0
A,ITC44,D21X31_C_W2_S1,V,N,2025M1,2022,619.0
A,ITC45,B1G_B_W2_S1,V,N,2025M1,2021,177242.0
A,ITC45,B1G_B_W2_S1,V,N,2025M1,2022,192269.0
A,ITC45,B1GQ_B_W2_S1,V,N,2025M1,2021,198864.0
A,ITC45,B1GQ_B_W2_S1,V,N,2025M1,2022,214404.0
A,ITC45,D21X31_C_W2_S1,V,N,2025M1,2021,21621.0
A,ITC45,D21X31_C_W2_S1,V,N,2025M1,2022,22136.0
A,ITC46,B1G_B_W2_S1,V,N,2025M1,2021,35991.0
A,ITC46,B1G_B_W2_S1,V,N,2025M1,2022,38280.0
A,ITC46,B1GQ_B_W2_S1,V,N,2025M1,2021,40381.0
A,ITC46,B1GQ_B_W2_S1,V,N,2025M1,2022,42688.0
A,ITC46,D21X31_C_W2_S1,V,N,2025M1,2021,4390.0
A,ITC46,D21X31_C_W2_S1,V,N,2025M1,2022,4407.0
A,ITC47,B1G_B_W2_S1,V,N,2025M1,2021,41457.0
A,ITC47,B1G_B_W2_S1,V,N,2025M1,2022,45592.0
A,ITC47,B1GQ_B_W2_S1,V,N,2025M1,2021,46515.0
A,ITC47,B1GQ_B_W2_S1,V,N,2025M1,2022,50841.0
A,ITC47,D21X31_C_W2_S1,V,N,2025M1,2021,5057.0
A,ITC47,D21X31_C_W2_S1,V,N,2025M1,2022,5249.0
A,ITC48,B1G_B_W2_S1,V,N,2025M1,2021,12742.0
A,ITC48,B1G_B_W2_S1,V,N,2025M1,2022,14125.0
A,ITC48,B1GQ_B_W2_S1,V,N,2025M1,2021,14297.0
A,ITC48,B1GQ_B_W2_S1,V,N,2025M1,2022,15751.0
A,ITC48,D21X31_C_W2_S1,V,N,2025M1,2021,1554.0
A,ITC48,D21X31_C_W2_S1,V,N,2025M1,2022,1626.0
A,ITC49,B1G_B_W2_S1,V,N,2025M1,2021,5939.0
A,ITC49,B1G_B_W2_S1,V,N,2025M1,2022,6243.0
A,ITC49,B1GQ_B_W2_S1,V,N,2025M1,2021,6663.0
A,ITC49,B1GQ_B_W2_S1,V,N,2025M1,2022,6961.0
A,ITC49,D21X31_C_W2_S1,V,N,2025M1,2021,724.0
A,ITC49,D21X31_C_W2_S1,V,N,2025M1,2022,719.0
A,ITC4A,B1G_B_W2_S1,V,N,2025M1,2021,11105.0
A,ITC4A,B1G_B_W2_S1,V,N,2025M1,2022,11847.0
A,ITC4A,B1GQ_B_W2_S1,V,N,2025M1,2021,12460.0
A,ITC4A,B1GQ_B_W2_S1,V,N,2025M1,2022,13211.0
